2.000000000000000042e-03 -4.858703368550435961e-04
4.000000000000000083e-03 -1.984116782978306934e-03
6.000000000000000125e-03 -4.415673174195294641e-03
8.000000000000000167e-03 -7.694516138476802276e-03
1.000000000000000021e-02 -1.173916274984386325e-02
1.200000000000000025e-02 -1.647264514648527634e-02
1.400000000000000029e-02 -2.181962207890029634e-02
1.600000000000000033e-02 -2.770222270828447131e-02
1.800000000000000211e-02 -3.403619028950154168e-02
2.000000000000000389e-02 -4.072951056110347967e-02
2.199999999999999872e-02 -4.768442916632713996e-02
2.400000000000000050e-02 -5.480193059410216894e-02
2.600000000000000228e-02 -6.198695338620325429e-02
2.800000000000000405e-02 -6.915289852548496541e-02
2.999999999999999889e-02 -7.622469023245763420e-02
3.200000000000000067e-02 -8.314026809868722834e-02
3.400000000000000244e-02 -8.985075483976420752e-02
3.600000000000000422e-02 -9.631968088305474518e-02
3.800000000000000600e-02 -1.025216412844814629e-01
4.000000000000000083e-02 -1.084406889790316686e-01
4.200000000000000261e-02 -1.140686804562379419e-01
4.400000000000000439e-02 -1.194037105769548135e-01
4.599999999999999922e-02 -1.244487115662221838e-01
4.800000000000000100e-02 -1.292102478768597240e-01
5.000000000000000278e-02 -1.336975107621364012e-01
5.200000000000000455e-02 -1.379215001261105411e-01
5.400000000000000633e-02 -1.418943729976474832e-01
5.600000000000000117e-02 -1.456289349486210027e-01
5.800000000000000294e-02 -1.491382508777610305e-01
6.000000000000000472e-02 -1.524353533908111569e-01
6.199999999999999956e-02 -1.555330296071162910e-01
6.400000000000000133e-02 -1.584436700511753227e-01
6.600000000000000311e-02 -1.611791660251649383e-01
6.800000000000000488e-02 -1.637508443411786752e-01
7.000000000000000666e-02 -1.661694304525583310e-01
7.200000000000000844e-02 -1.684450328513184270e-01
7.400000000000001021e-02 -1.705871431129436788e-01
7.599999999999999811e-02 -1.726046472032383705e-01
7.799999999999999989e-02 -1.745058446701507060e-01
8.000000000000000167e-02 -1.762984730903920383e-01
